STATISTIC Label,Month,Selected Base Reference Period,UNIT,VALUE
Consumer Price Index,1983 June,Base November 1982=100,Base = 100,105.3
Consumer Price Index,1983 June,Base November 1989=100,Base = 100,74.6
Consumer Price Index,1983 June,Base November 1996=100,Base = 100,63.2
Consumer Price Index,1983 June,Base December 2001=100,Base = 100,53.5
Consumer Price Index,1983 June,Base December 2006=100,Base = 100,45.3
Consumer Price Index,1983 June,Base December 2011=100,Base = 100,43.4
Consumer Price Index,1983 June,Base December 2016=100,Base = 100,42.9
Consumer Price Index,1983 June,Base December 2023=100,Base = 100,35.4
Consumer Price Index,1983 July,Base July 1914=100,Base = 100,4221.8
Consumer Price Index,1983 July,Base August 1947=100,Base = 100,1323.4
Consumer Price Index,1983 July,Base August 1953=100,Base = 100,1058.9
Consumer Price Index,1983 July,Base November 1968=100,Base = 100,650.8
Consumer Price Index,1983 July,Base November 1975=100,Base = 100,296.4
Consumer Price Index,1983 July,Base November 1982=100,Base = 100,108.3
Consumer Price Index,1983 July,Base November 1989=100,Base = 100,76.7
Consumer Price Index,1983 July,Base November 1996=100,Base = 100,65
Consumer Price Index,1983 July,Base December 2001=100,Base = 100,55
Consumer Price Index,1983 July,Base December 2006=100,Base = 100,46.6
Consumer Price Index,1983 July,Base December 2011=100,Base = 100,44.6
Consumer Price Index,1983 July,Base December 2016=100,Base = 100,44.1
Consumer Price Index,1983 July,Base December 2023=100,Base = 100,36.4
Consumer Price Index,1983 August,Base July 1914=100,Base = 100,4221.8
Consumer Price Index,1983 August,Base August 1947=100,Base = 100,1323.4
Consumer Price Index,1983 August,Base August 1953=100,Base = 100,1058.9
Consumer Price Index,1983 August,Base November 1968=100,Base = 100,650.8
Consumer Price Index,1983 August,Base November 1975=100,Base = 100,296.4
Consumer Price Index,1983 August,Base November 1982=100,Base = 100,108.3
Consumer Price Index,1983 August,Base November 1989=100,Base = 100,76.7
Consumer Price Index,1983 August,Base November 1996=100,Base = 100,65
Consumer Price Index,1983 August,Base December 2001=100,Base = 100,55
Consumer Price Index,1983 August,Base December 2006=100,Base = 100,46.6
Consumer Price Index,1983 August,Base December 2011=100,Base = 100,44.6
Consumer Price Index,1983 August,Base December 2016=100,Base = 100,44.1
Consumer Price Index,1983 August,Base December 2023=100,Base = 100,36.4
Consumer Price Index,1983 September,Base July 1914=100,Base = 100,4221.8
Consumer Price Index,1983 September,Base August 1947=100,Base = 100,1323.4
Consumer Price Index,1983 September,Base August 1953=100,Base = 100,1058.9
Consumer Price Index,1983 September,Base November 1968=100,Base = 100,650.8
Consumer Price Index,1983 September,Base November 1975=100,Base = 100,296.4
Consumer Price Index,1983 September,Base November 1982=100,Base = 100,108.3
Consumer Price Index,1983 September,Base November 1989=100,Base = 100,76.7
Consumer Price Index,1983 September,Base November 1996=100,Base = 100,65
Consumer Price Index,1983 September,Base December 2001=100,Base = 100,55
Consumer Price Index,1983 September,Base December 2006=100,Base = 100,46.6
Consumer Price Index,1983 September,Base December 2011=100,Base = 100,44.6
Consumer Price Index,1983 September,Base December 2016=100,Base = 100,44.1
Consumer Price Index,1983 September,Base December 2023=100,Base = 100,36.4
Consumer Price Index,1983 October,Base July 1914=100,Base = 100,4303
Consumer Price Index,1983 October,Base August 1947=100,Base = 100,1348.9
Consumer Price Index,1983 October,Base August 1953=100,Base = 100,1079.2
Consumer Price Index,1983 October,Base November 1968=100,Base = 100,663.3
Consumer Price Index,1983 October,Base November 1975=100,Base = 100,301.9
Consumer Price Index,1983 October,Base November 1982=100,Base = 100,110.3
Consumer Price Index,1983 October,Base November 1989=100,Base = 100,78.2
Consumer Price Index,1983 October,Base November 1996=100,Base = 100,66.2
Consumer Price Index,1983 October,Base December 2001=100,Base = 100,56
Consumer Price Index,1983 October,Base December 2006=100,Base = 100,47.5
Consumer Price Index,1983 October,Base December 2011=100,Base = 100,45.5
Consumer Price Index,1983 October,Base December 2016=100,Base = 100,44.9
Consumer Price Index,1983 October,Base December 2023=100,Base = 100,37.1
Consumer Price Index,1983 November,Base July 1914=100,Base = 100,4303
Consumer Price Index,1983 November,Base August 1947=100,Base = 100,1348.9
Consumer Price Index,1983 November,Base August 1953=100,Base = 100,1079.2
Consumer Price Index,1983 November,Base November 1968=100,Base = 100,663.3
Consumer Price Index,1983 November,Base November 1975=100,Base = 100,301.9
Consumer Price Index,1983 November,Base November 1982=100,Base = 100,110.3
Consumer Price Index,1983 November,Base November 1989=100,Base = 100,78.2
Consumer Price Index,1983 November,Base November 1996=100,Base = 100,66.2
Consumer Price Index,1983 November,Base December 2001=100,Base = 100,56
Consumer Price Index,1983 November,Base December 2006=100,Base = 100,47.5
Consumer Price Index,1983 November,Base December 2011=100,Base = 100,45.5
Consumer Price Index,1983 November,Base December 2016=100,Base = 100,44.9
Consumer Price Index,1983 November,Base December 2023=100,Base = 100,37.1
Consumer Price Index,1983 December,Base July 1914=100,Base = 100,4303
Consumer Price Index,1983 December,Base August 1947=100,Base = 100,1348.9
Consumer Price Index,1983 December,Base August 1953=100,Base = 100,1079.2
Consumer Price Index,1983 December,Base November 1968=100,Base = 100,663.3
Consumer Price Index,1983 December,Base November 1975=100,Base = 100,301.9
Consumer Price Index,1983 December,Base November 1982=100,Base = 100,110.3
Consumer Price Index,1983 December,Base November 1989=100,Base = 100,78.2
Consumer Price Index,1983 December,Base November 1996=100,Base = 100,66.2
Consumer Price Index,1983 December,Base December 2001=100,Base = 100,56
Consumer Price Index,1983 December,Base December 2006=100,Base = 100,47.5
Consumer Price Index,1983 December,Base December 2011=100,Base = 100,45.5
Consumer Price Index,1983 December,Base December 2016=100,Base = 100,44.9
Consumer Price Index,1983 December,Base December 2023=100,Base = 100,37.1
Consumer Price Index,1984 January,Base July 1914=100,Base = 100,4407.4
Consumer Price Index,1984 January,Base August 1947=100,Base = 100,1381.6
Consumer Price Index,1984 January,Base August 1953=100,Base = 100,1105.4
Consumer Price Index,1984 January,Base November 1968=100,Base = 100,679.4
Consumer Price Index,1984 January,Base November 1975=100,Base = 100,309.2
Consumer Price Index,1984 January,Base November 1982=100,Base = 100,112.9
Consumer Price Index,1984 January,Base November 1989=100,Base = 100,80.1
Consumer Price Index,1984 January,Base November 1996=100,Base = 100,67.8
Consumer Price Index,1984 January,Base December 2001=100,Base = 100,57.4
Consumer Price Index,1984 January,Base December 2006=100,Base = 100,48.6
Consumer Price Index,1984 January,Base December 2011=100,Base = 100,46.6
Consumer Price Index,1984 January,Base December 2016=100,Base = 100,46
Consumer Price Index,1984 January,Base December 2023=100,Base = 100,38
Consumer Price Index,1984 February,Base July 1914=100,Base = 100,4407.4
Consumer Price Index,1984 February,Base August 1947=100,Base = 100,1381.6
Consumer Price Index,1984 February,Base August 1953=100,Base = 100,1105.4
Consumer Price Index,1984 February,Base November 1968=100,Base = 100,679.4
Consumer Price Index,1984 February,Base November 1975=100,Base = 100,309.2
Consumer Price Index,1984 February,Base November 1982=100,Base = 100,112.9
Consumer Price Index,1984 February,Base November 1989=100,Base = 100,80.1
Consumer Price Index,1984 February,Base November 1996=100,Base = 100,67.8
Consumer Price Index,1984 February,Base December 2001=100,Base = 100,57.4
Consumer Price Index,1984 February,Base December 2006=100,Base = 100,48.6
Consumer Price Index,1984 February,Base December 2011=100,Base = 100,46.6
Consumer Price Index,1984 February,Base December 2016=100,Base = 100,46
Consumer Price Index,1984 February,Base December 2023=100,Base = 100,38
Consumer Price Index,1984 March,Base July 1914=100,Base = 100,4407.4
Consumer Price Index,1984 March,Base August 1947=100,Base = 100,1381.6
Consumer Price Index,1984 March,Base August 1953=100,Base = 100,1105.4
Consumer Price Index,1984 March,Base November 1968=100,Base = 100,679.4
Consumer Price Index,1984 March,Base November 1975=100,Base = 100,309.2
Consumer Price Index,1984 March,Base November 1982=100,Base = 100,112.9
Consumer Price Index,1984 March,Base November 1989=100,Base = 100,80.1
Consumer Price Index,1984 March,Base November 1996=100,Base = 100,67.8
Consumer Price Index,1984 March,Base December 2001=100,Base = 100,57.4
Consumer Price Index,1984 March,Base December 2006=100,Base = 100,48.6
Consumer Price Index,1984 March,Base December 2011=100,Base = 100,46.6
Consumer Price Index,1984 March,Base December 2016=100,Base = 100,46
Consumer Price Index,1984 March,Base December 2023=100,Base = 100,38
Consumer Price Index,1984 April,Base July 1914=100,Base = 100,4500.2
Consumer Price Index,1984 April,Base August 1947=100,Base = 100,1410.7
Consumer Price Index,1984 April,Base August 1953=100,Base = 100,1128.7
Consumer Price Index,1984 April,Base November 1968=100,Base = 100,693.7
Consumer Price Index,1984 April,Base November 1975=100,Base = 100,316.1
Consumer Price Index,1984 April,Base November 1982=100,Base = 100,115.5
Consumer Price Index,1984 April,Base November 1989=100,Base = 100,81.8
Consumer Price Index,1984 April,Base November 1996=100,Base = 100,69.3
Consumer Price Index,1984 April,Base December 2001=100,Base = 100,58.7
Consumer Price Index,1984 April,Base December 2006=100,Base = 100,49.7
Consumer Price Index,1984 April,Base December 2011=100,Base = 100,47.6
Consumer Price Index,1984 April,Base December 2016=100,Base = 100,47
Consumer Price Index,1984 April,Base December 2023=100,Base = 100,38.8
Consumer Price Index,1984 May,Base July 1914=100,Base = 100,4500.2
Consumer Price Index,1984 May,Base August 1947=100,Base = 100,1410.7
Consumer Price Index,1984 May,Base August 1953=100,Base = 100,1128.7
Consumer Price Index,1984 May,Base November 1968=100,Base = 100,693.7
Consumer Price Index,1984 May,Base November 1975=100,Base = 100,316.1
Consumer Price Index,1984 May,Base November 1982=100,Base = 100,115.5
Consumer Price Index,1984 May,Base November 1989=100,Base = 100,81.8
Consumer Price Index,1984 May,Base November 1996=100,Base = 100,69.3
Consumer Price Index,1984 May,Base December 2001=100,Base = 100,58.7
Consumer Price Index,1984 May,Base December 2006=100,Base = 100,49.7
Consumer Price Index,1984 May,Base December 2011=100,Base = 100,47.6
Consumer Price Index,1984 May,Base December 2016=100,Base = 100,47
Consumer Price Index,1984 May,Base December 2023=100,Base = 100,38.8
Consumer Price Index,1984 June,Base July 1914=100,Base = 100,4500.2
Consumer Price Index,1984 June,Base August 1947=100,Base = 100,1410.7
Consumer Price Index,1984 June,Base August 1953=100,Base = 100,1128.7
Consumer Price Index,1984 June,Base November 1968=100,Base = 100,693.7
Consumer Price Index,1984 June,Base November 1975=100,Base = 100,316.1
Consumer Price Index,1984 June,Base November 1982=100,Base = 100,115.5
Consumer Price Index,1984 June,Base November 1989=100,Base = 100,81.8
Consumer Price Index,1984 June,Base November 1996=100,Base = 100,69.3
Consumer Price Index,1984 June,Base December 2001=100,Base = 100,58.7
Consumer Price Index,1984 June,Base December 2006=100,Base = 100,49.7
Consumer Price Index,1984 June,Base December 2011=100,Base = 100,47.6
Consumer Price Index,1984 June,Base December 2016=100,Base = 100,47
Consumer Price Index,1984 June,Base December 2023=100,Base = 100,38.8
Consumer Price Index,1984 July,Base July 1914=100,Base = 100,4558.2
Consumer Price Index,1984 July,Base August 1947=100,Base = 100,1428.9
Consumer Price Index,1984 July,Base August 1953=100,Base = 100,1143.2
Consumer Price Index,1984 July,Base November 1968=100,Base = 100,702.6
Consumer Price Index,1984 July,Base November 1975=100,Base = 100,320.1
Consumer Price Index,1984 July,Base November 1982=100,Base = 100,116.9
Consumer Price Index,1984 July,Base November 1989=100,Base = 100,82.9
Consumer Price Index,1984 July,Base November 1996=100,Base = 100,70.2
Consumer Price Index,1984 July,Base December 2001=100,Base = 100,59.4
Consumer Price Index,1984 July,Base December 2006=100,Base = 100,50.3
Consumer Price Index,1984 July,Base December 2011=100,Base = 100,48.2
Consumer Price Index,1984 July,Base December 2016=100,Base = 100,47.6
Consumer Price Index,1984 July,Base December 2023=100,Base = 100,39.3
Consumer Price Index,1984 August,Base July 1914=100,Base = 100,4558.2
Consumer Price Index,1984 August,Base August 1947=100,Base = 100,1428.9
Consumer Price Index,1984 August,Base August 1953=100,Base = 100,1143.2
Consumer Price Index,1984 August,Base November 1968=100,Base = 100,702.6
Consumer Price Index,1984 August,Base November 1975=100,Base = 100,320.1
Consumer Price Index,1984 August,Base November 1982=100,Base = 100,116.9
Consumer Price Index,1984 August,Base November 1989=100,Base = 100,82.9
Consumer Price Index,1984 August,Base November 1996=100,Base = 100,70.2
Consumer Price Index,1984 August,Base December 2001=100,Base = 100,59.4
Consumer Price Index,1984 August,Base December 2006=100,Base = 100,50.3
Consumer Price Index,1984 August,Base December 2011=100,Base = 100,48.2
Consumer Price Index,1984 August,Base December 2016=100,Base = 100,47.6
Consumer Price Index,1984 August,Base December 2023=100,Base = 100,39.3
Consumer Price Index,1984 September,Base July 1914=100,Base = 100,4558.2
Consumer Price Index,1984 September,Base August 1947=100,Base = 100,1428.9
Consumer Price Index,1984 September,Base August 1953=100,Base = 100,1143.2
Consumer Price Index,1984 September,Base November 1968=100,Base = 100,702.6
Consumer Price Index,1984 September,Base November 1975=100,Base = 100,320.1
Consumer Price Index,1984 September,Base November 1982=100,Base = 100,116.9
Consumer Price Index,1984 September,Base November 1989=100,Base = 100,82.9
Consumer Price Index,1984 September,Base November 1996=100,Base = 100,70.2
Consumer Price Index,1984 September,Base December 2001=100,Base = 100,59.4
Consumer Price Index,1984 September,Base December 2006=100,Base = 100,50.3
Consumer Price Index,1984 September,Base December 2011=100,Base = 100,48.2
Consumer Price Index,1984 September,Base December 2016=100,Base = 100,47.6
Consumer Price Index,1984 September,Base December 2023=100,Base = 100,39.3
Consumer Price Index,1984 October,Base July 1914=100,Base = 100,4593
Consumer Price Index,1984 October,Base August 1947=100,Base = 100,1439.8
Consumer Price Index,1984 October,Base August 1953=100,Base = 100,1151.9
Consumer Price Index,1984 October,Base November 1968=100,Base = 100,708
Consumer Price Index,1984 October,Base November 1975=100,Base = 100,322.3
Consumer Price Index,1984 October,Base November 1982=100,Base = 100,117.7
Consumer Price Index,1984 October,Base November 1989=100,Base = 100,83.4
Consumer Price Index,1984 October,Base November 1996=100,Base = 100,70.7
Consumer Price Index,1984 October,Base December 2001=100,Base = 100,59.8
Consumer Price Index,1984 October,Base December 2006=100,Base = 100,50.7
Consumer Price Index,1984 October,Base December 2011=100,Base = 100,48.5
Consumer Price Index,1984 October,Base December 2016=100,Base = 100,48
Consumer Price Index,1984 October,Base December 2023=100,Base = 100,39.6
Consumer Price Index,1984 November,Base July 1914=100,Base = 100,4593
Consumer Price Index,1984 November,Base August 1947=100,Base = 100,1439.8
Consumer Price Index,1984 November,Base August 1953=100,Base = 100,1151.9
Consumer Price Index,1984 November,Base November 1968=100,Base = 100,708
Consumer Price Index,1984 November,Base November 1975=100,Base = 100,322.3
Consumer Price Index,1984 November,Base November 1982=100,Base = 100,117.7
Consumer Price Index,1984 November,Base November 1989=100,Base = 100,83.4
Consumer Price Index,1984 November,Base November 1996=100,Base = 100,70.7
Consumer Price Index,1984 November,Base December 2001=100,Base = 100,59.8
Consumer Price Index,1984 November,Base December 2006=100,Base = 100,50.7
Consumer Price Index,1984 November,Base December 2011=100,Base = 100,48.5
Consumer Price Index,1984 November,Base December 2016=100,Base = 100,48
Consumer Price Index,1984 November,Base December 2023=100,Base = 100,39.6
Consumer Price Index,1984 December,Base July 1914=100,Base = 100,4593
Consumer Price Index,1984 December,Base August 1947=100,Base = 100,1439.8
Consumer Price Index,1984 December,Base August 1953=100,Base = 100,1151.9
Consumer Price Index,1984 December,Base November 1968=100,Base = 100,708
Consumer Price Index,1984 December,Base November 1975=100,Base = 100,322.3
Consumer Price Index,1984 December,Base November 1982=100,Base = 100,117.7
Consumer Price Index,1984 December,Base November 1989=100,Base = 100,83.4
Consumer Price Index,1984 December,Base November 1996=100,Base = 100,70.7
Consumer Price Index,1984 December,Base December 2001=100,Base = 100,59.8
Consumer Price Index,1984 December,Base December 2006=100,Base = 100,50.7
Consumer Price Index,1984 December,Base December 2011=100,Base = 100,48.5
Consumer Price Index,1984 December,Base December 2016=100,Base = 100,48
Consumer Price Index,1984 December,Base December 2023=100,Base = 100,39.6
Consumer Price Index,1985 January,Base July 1914=100,Base = 100,4674.1
Consumer Price Index,1985 January,Base August 1947=100,Base = 100,1465.2
Consumer Price Index,1985 January,Base August 1953=100,Base = 100,1172.3
Consumer Price Index,1985 January,Base November 1968=100,Base = 100,720.5
Consumer Price Index,1985 January,Base November 1975=100,Base = 100,328.2
Consumer Price Index,1985 January,Base November 1982=100,Base = 100,119.9
Consumer Price Index,1985 January,Base November 1989=100,Base = 100,85
Consumer Price Index,1985 January,Base November 1996=100,Base = 100,72
Consumer Price Index,1985 January,Base December 2001=100,Base = 100,60.9
Consumer Price Index,1985 January,Base December 2006=100,Base = 100,51.6
Consumer Price Index,1985 January,Base December 2011=100,Base = 100,49.4
Consumer Price Index,1985 January,Base December 2016=100,Base = 100,48.8
Consumer Price Index,1985 January,Base December 2023=100,Base = 100,40.3
Consumer Price Index,1985 February,Base July 1914=100,Base = 100,4674.1
Consumer Price Index,1985 February,Base August 1947=100,Base = 100,1465.2
Consumer Price Index,1985 February,Base August 1953=100,Base = 100,1172.3
Consumer Price Index,1985 February,Base November 1968=100,Base = 100,720.5
Consumer Price Index,1985 February,Base November 1975=100,Base = 100,328.2
Consumer Price Index,1985 February,Base November 1982=100,Base = 100,119.9
Consumer Price Index,1985 February,Base November 1989=100,Base = 100,85
Consumer Price Index,1985 February,Base November 1996=100,Base = 100,72
Consumer Price Index,1985 February,Base December 2001=100,Base = 100,60.9
Consumer Price Index,1985 February,Base December 2006=100,Base = 100,51.6
Consumer Price Index,1985 February,Base December 2011=100,Base = 100,49.4
Consumer Price Index,1985 February,Base December 2016=100,Base = 100,48.8
Consumer Price Index,1985 February,Base December 2023=100,Base = 100,40.3
Consumer Price Index,1985 March,Base July 1914=100,Base = 100,4674.1
Consumer Price Index,1985 March,Base August 1947=100,Base = 100,1465.2
Consumer Price Index,1985 March,Base August 1953=100,Base = 100,1172.3
Consumer Price Index,1985 March,Base November 1968=100,Base = 100,720.5
Consumer Price Index,1985 March,Base November 1975=100,Base = 100,328.2
Consumer Price Index,1985 March,Base November 1982=100,Base = 100,119.9
Consumer Price Index,1985 March,Base November 1989=100,Base = 100,85
Consumer Price Index,1985 March,Base November 1996=100,Base = 100,72
Consumer Price Index,1985 March,Base December 2001=100,Base = 100,60.9
Consumer Price Index,1985 March,Base December 2006=100,Base = 100,51.6
Consumer Price Index,1985 March,Base December 2011=100,Base = 100,49.4
Consumer Price Index,1985 March,Base December 2016=100,Base = 100,48.8
Consumer Price Index,1985 March,Base December 2023=100,Base = 100,40.3
Consumer Price Index,1985 April,Base July 1914=100,Base = 100,4743.7
Consumer Price Index,1985 April,Base August 1947=100,Base = 100,1487
Consumer Price Index,1985 April,Base August 1953=100,Base = 100,1189.8
Consumer Price Index,1985 April,Base November 1968=100,Base = 100,731.2
Consumer Price Index,1985 April,Base November 1975=100,Base = 100,332.8
Consumer Price Index,1985 April,Base November 1982=100,Base = 100,121.5
Consumer Price Index,1985 April,Base November 1989=100,Base = 100,86.2
Consumer Price Index,1985 April,Base November 1996=100,Base = 100,73
Consumer Price Index,1985 April,Base December 2001=100,Base = 100,61.8
Consumer Price Index,1985 April,Base December 2006=100,Base = 100,52.3
Consumer Price Index,1985 April,Base December 2011=100,Base = 100,50.1
Consumer Price Index,1985 April,Base December 2016=100,Base = 100,49.5
Consumer Price Index,1985 April,Base December 2023=100,Base = 100,40.9
Consumer Price Index,1985 May,Base July 1914=100,Base = 100,4743.7
Consumer Price Index,1985 May,Base August 1947=100,Base = 100,1487
Consumer Price Index,1985 May,Base August 1953=100,Base = 100,1189.8
Consumer Price Index,1985 May,Base November 1968=100,Base = 100,731.2
Consumer Price Index,1985 May,Base November 1975=100,Base = 100,332.8
Consumer Price Index,1985 May,Base November 1982=100,Base = 100,121.5
Consumer Price Index,1985 May,Base November 1989=100,Base = 100,86.2
Consumer Price Index,1985 May,Base November 1996=100,Base = 100,73
Consumer Price Index,1985 May,Base December 2001=100,Base = 100,61.8
Consumer Price Index,1985 May,Base December 2006=100,Base = 100,52.3
Consumer Price Index,1985 May,Base December 2011=100,Base = 100,50.1
Consumer Price Index,1985 May,Base December 2016=100,Base = 100,49.5
Consumer Price Index,1985 May,Base December 2023=100,Base = 100,40.9
Consumer Price Index,1985 June,Base July 1914=100,Base = 100,4743.7
Consumer Price Index,1985 June,Base August 1947=100,Base = 100,1487
Consumer Price Index,1985 June,Base August 1953=100,Base = 100,1189.8
Consumer Price Index,1985 June,Base November 1968=100,Base = 100,731.2
Consumer Price Index,1985 June,Base November 1975=100,Base = 100,332.8
Consumer Price Index,1985 June,Base November 1982=100,Base = 100,121.5
Consumer Price Index,1985 June,Base November 1989=100,Base = 100,86.2
Consumer Price Index,1985 June,Base November 1996=100,Base = 100,73
Consumer Price Index,1985 June,Base December 2001=100,Base = 100,61.8
Consumer Price Index,1985 June,Base December 2006=100,Base = 100,52.3
Consumer Price Index,1985 June,Base December 2011=100,Base = 100,50.1
Consumer Price Index,1985 June,Base December 2016=100,Base = 100,49.5
Consumer Price Index,1985 June,Base December 2023=100,Base = 100,40.9
Consumer Price Index,1985 July,Base July 1914=100,Base = 100,4813.3
Consumer Price Index,1985 July,Base August 1947=100,Base = 100,1508.8
Consumer Price Index,1985 July,Base August 1953=100,Base = 100,1207.2
Consumer Price Index,1985 July,Base November 1968=100,Base = 100,741.9
Consumer Price Index,1985 July,Base November 1975=100,Base = 100,337.6
Consumer Price Index,1985 July,Base November 1982=100,Base = 100,123.3
Consumer Price Index,1985 July,Base November 1989=100,Base = 100,87.4
Consumer Price Index,1985 July,Base November 1996=100,Base = 100,74
Consumer Price Index,1985 July,Base December 2001=100,Base = 100,62.6
Consumer Price Index,1985 July,Base December 2006=100,Base = 100,53.1
Consumer Price Index,1985 July,Base December 2011=100,Base = 100,50.8
Consumer Price Index,1985 July,Base December 2016=100,Base = 100,50.2
Consumer Price Index,1985 July,Base December 2023=100,Base = 100,41.5
Consumer Price Index,1985 August,Base July 1914=100,Base = 100,4813.3
Consumer Price Index,1985 August,Base August 1947=100,Base = 100,1508.8
Consumer Price Index,1985 August,Base August 1953=100,Base = 100,1207.2
Consumer Price Index,1985 August,Base November 1968=100,Base = 100,741.9
Consumer Price Index,1985 August,Base November 1975=100,Base = 100,337.6
Consumer Price Index,1985 August,Base November 1982=100,Base = 100,123.3
Consumer Price Index,1985 August,Base November 1989=100,Base = 100,87.4
Consumer Price Index,1985 August,Base November 1996=100,Base = 100,74
Consumer Price Index,1985 August,Base December 2001=100,Base = 100,62.6
Consumer Price Index,1985 August,Base December 2006=100,Base = 100,53.1
Consumer Price Index,1985 August,Base December 2011=100,Base = 100,50.8
Consumer Price Index,1985 August,Base December 2016=100,Base = 100,50.2
Consumer Price Index,1985 August,Base December 2023=100,Base = 100,41.5
Consumer Price Index,1985 September,Base July 1914=100,Base = 100,4813.3
Consumer Price Index,1985 September,Base August 1947=100,Base = 100,1508.8
Consumer Price Index,1985 September,Base August 1953=100,Base = 100,1207.2
Consumer Price Index,1985 September,Base November 1968=100,Base = 100,741.9
Consumer Price Index,1985 September,Base November 1975=100,Base = 100,337.6
Consumer Price Index,1985 September,Base November 1982=100,Base = 100,123.3
Consumer Price Index,1985 September,Base November 1989=100,Base = 100,87.4
Consumer Price Index,1985 September,Base November 1996=100,Base = 100,74
Consumer Price Index,1985 September,Base December 2001=100,Base = 100,62.6
Consumer Price Index,1985 September,Base December 2006=100,Base = 100,53.1
Consumer Price Index,1985 September,Base December 2011=100,Base = 100,50.8
Consumer Price Index,1985 September,Base December 2016=100,Base = 100,50.2
Consumer Price Index,1985 September,Base December 2023=100,Base = 100,41.5
Consumer Price Index,1985 October,Base July 1914=100,Base = 100,4824.9
Consumer Price Index,1985 October,Base August 1947=100,Base = 100,1512.5
Consumer Price Index,1985 October,Base August 1953=100,Base = 100,1210.1
Consumer Price Index,1985 October,Base November 1968=100,Base = 100,743.7
Consumer Price Index,1985 October,Base November 1975=100,Base = 100,338.2
Consumer Price Index,1985 October,Base November 1982=100,Base = 100,123.5
Consumer Price Index,1985 October,Base November 1989=100,Base = 100,87.6
Consumer Price Index,1985 October,Base November 1996=100,Base = 100,74.2
Consumer Price Index,1985 October,Base December 2001=100,Base = 100,62.8
Consumer Price Index,1985 October,Base December 2006=100,Base = 100,53.2
Consumer Price Index,1985 October,Base December 2011=100,Base = 100,50.9
Consumer Price Index,1985 October,Base December 2016=100,Base = 100,50.3
Consumer Price Index,1985 October,Base December 2023=100,Base = 100,41.6
Consumer Price Index,1985 November,Base July 1914=100,Base = 100,4824.9
Consumer Price Index,1985 November,Base August 1947=100,Base = 100,1512.5
Consumer Price Index,1985 November,Base August 1953=100,Base = 100,1210.1
Consumer Price Index,1985 November,Base November 1968=100,Base = 100,743.7
Consumer Price Index,1985 November,Base November 1975=100,Base = 100,338.2
Consumer Price Index,1985 November,Base November 1982=100,Base = 100,123.5
Consumer Price Index,1985 November,Base November 1989=100,Base = 100,87.6
Consumer Price Index,1985 November,Base November 1996=100,Base = 100,74.2
Consumer Price Index,1985 November,Base December 2001=100,Base = 100,62.8
Consumer Price Index,1985 November,Base December 2006=100,Base = 100,53.2
Consumer Price Index,1985 November,Base December 2011=100,Base = 100,50.9
Consumer Price Index,1985 November,Base December 2016=100,Base = 100,50.3
Consumer Price Index,1985 November,Base December 2023=100,Base = 100,41.6
Consumer Price Index,1985 December,Base July 1914=100,Base = 100,4824.9
Consumer Price Index,1985 December,Base August 1947=100,Base = 100,1512.5
Consumer Price Index,1985 December,Base August 1953=100,Base = 100,1210.1
Consumer Price Index,1985 December,Base November 1968=100,Base = 100,743.7
Consumer Price Index,1985 December,Base November 1975=100,Base = 100,338.2
Consumer Price Index,1985 December,Base November 1982=100,Base = 100,123.5
Consumer Price Index,1985 December,Base November 1989=100,Base = 100,87.6
Consumer Price Index,1985 December,Base November 1996=100,Base = 100,74.2
Consumer Price Index,1985 December,Base December 2001=100,Base = 100,62.8
Consumer Price Index,1985 December,Base December 2006=100,Base = 100,53.2
Consumer Price Index,1985 December,Base December 2011=100,Base = 100,50.9
Consumer Price Index,1985 December,Base December 2016=100,Base = 100,50.3
Consumer Price Index,1985 December,Base December 2023=100,Base = 100,41.6
Consumer Price Index,1986 January,Base July 1914=100,Base = 100,4894.5
Consumer Price Index,1986 January,Base August 1947=100,Base = 100,1534.3
Consumer Price Index,1986 January,Base August 1953=100,Base = 100,1227.6
Consumer Price Index,1986 January,Base November 1968=100,Base = 100,754.5
Consumer Price Index,1986 January,Base November 1975=100,Base = 100,343.4
Consumer Price Index,1986 January,Base November 1982=100,Base = 100,125.4
Consumer Price Index,1986 January,Base November 1989=100,Base = 100,88.9
Consumer Price Index,1986 January,Base November 1996=100,Base = 100,75.3
Consumer Price Index,1986 January,Base December 2001=100,Base = 100,63.7
Consumer Price Index,1986 January,Base December 2006=100,Base = 100,54
Consumer Price Index,1986 January,Base December 2011=100,Base = 100,51.7
Consumer Price Index,1986 January,Base December 2016=100,Base = 100,51.1
Consumer Price Index,1986 January,Base December 2023=100,Base = 100,42.2
Consumer Price Index,1986 February,Base July 1914=100,Base = 100,4894.5
Consumer Price Index,1986 February,Base August 1947=100,Base = 100,1534.3
Consumer Price Index,1986 February,Base August 1953=100,Base = 100,1227.6
Consumer Price Index,1986 February,Base November 1968=100,Base = 100,754.5
Consumer Price Index,1986 February,Base November 1975=100,Base = 100,343.4
Consumer Price Index,1986 February,Base November 1982=100,Base = 100,125.4
Consumer Price Index,1986 February,Base November 1989=100,Base = 100,88.9
Consumer Price Index,1986 February,Base November 1996=100,Base = 100,75.3
Consumer Price Index,1986 February,Base December 2001=100,Base = 100,63.7
Consumer Price Index,1986 February,Base December 2006=100,Base = 100,54
Consumer Price Index,1986 February,Base December 2011=100,Base = 100,51.7
Consumer Price Index,1986 February,Base December 2016=100,Base = 100,51.1
